Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-Oct-22,1452,1465,1439.8,1444.15,1451.765186,120074,5008,174319253,55880,46.54,25.2,-7.85
17-Oct-22,1434.65,1457.3,1427.05,1446.35,1443.676582,277044,14249,399961935,89576,32.33,30.25,11.7
14-Oct-22,1412,1447,1412,1441.1,1434.102419,372227,19446,533811641,255735,68.7,35,29.1
13-Oct-22,1402.5,1406.85,1384,1393.7,1393.826194,68801,4435,95896636,30596,44.47,22.85,-8.8
12-Oct-22,1407,1414.1,1397.35,1409.4,1405.949168,122619,8854,172396081,57283,46.72,16.75,2.4
11-Oct-22,1403.8,1416.95,1399.2,1400.7,1406.728076,140098,9888,197079790,77181,55.09,17.75,-3.1
10-Oct-22,1410,1425.9,1398.35,1415.5,1407.368168,81547,5782,114766652,31329,38.42,27.55,5.5
07-Oct-22,1425.25,1433,1420.45,1430.7,1426.063312,93347,4504,133118732,64964,69.59,12.55,5.45
06-Oct-22,1455,1462.1,1434.8,1436.85,1449.436585,72987,4061,105790028,31403,43.03,27.3,-18.15
04-Oct-22,1425.25,1456,1425.25,1452.6,1447.573942,86500,4873,125215146,45408,52.49,30.75,27.35
03-Oct-22,1410,1418,1400.55,1412.85,1409.017245,130820,11695,184327636,67217,51.38,17.45,2.85
30-Sep-22,1375.55,1431.3,1365.05,1422.4,1409.180534,135825,6177,191401946,50496,37.18,66.25,46.85
29-Sep-22,1394.25,1402.2,1378.8,1381.85,1389.176114,70125,5208,97415975,27273,38.89,23.4,-12.4
28-Sep-22,1405,1410.65,1385.15,1388.25,1395.994436,195531,18349,272960188,87153,44.57,25.5,-16.75
27-Sep-22,1426.5,1439.8,1406.9,1414.35,1424.054427,81448,5275,115986385,25425,31.22,32.9,-12.15
26-Sep-22,1423.35,1436.15,1417.4,1425.2,1425.074886,362403,34870,516451414,,,18.75,1.85
23-Sep-22,1475,1475,1437,1446.5,1451.561987,138738,9817,201386807,61743,44.5,38,-28.5
22-Sep-22,1516,1516,1482,1485.7,1495.519184,189848,13545,283921326,84425,44.47,34,-30.3
21-Sep-22,1510,1521.4,1505,1518.75,1515.660853,57279,3689,86815538,27841,48.61,16.4,8.75
20-Sep-22,1508.5,1524,1499.95,1518.05,1518.095056,282959,17951,429558659,204790,72.37,24.05,9.55
19-Sep-22,1486.35,1514,1480,1502.9,1503.600757,218248,11617,328157858,117340,53.76,34,16.55
16-Sep-22,1499,1514.5,1483,1493.2,1502.134023,248622,18226,373463565,126709,50.96,31.5,-5.8
15-Sep-22,1522.25,1540.55,1511.75,1520.9,1525.944334,292478,20276,446305147,154538,52.84,28.8,-1.35
14-Sep-22,1490,1538.95,1490,1528.9,1507.224551,623314,9690,939474164,122694,19.68,48.95,38.9
13-Sep-22,1498.3,1515.55,1498.1,1511.15,1509.23376,352340,7212,531763423,257060,72.96,17.45,12.85
12-Sep-22,1498,1503.85,1489.9,1492.2,1498.266218,113287,4714,169734085,51289,45.27,13.95,-5.8
09-Sep-22,1497.5,1509,1495,1498.15,1505.277556,337283,9952,507704530,,,14,0.65
08-Sep-22,1486.5,1500,1482.5,1497.05,1492.981816,187145,5112,279404082,121606,64.98,17.5,10.55
07-Sep-22,1470,1490.25,1470,1482.2,1485.776973,376900,13647,559989341,318726,84.57,20.25,12.2
06-Sep-22,1490,1506.5,1486.75,1489.5,1498.579707,575204,17678,861989042,430967,74.92,19.75,-0.5
05-Sep-22,1485.1,1498.9,1483.2,1495.05,1493.759375,462977,17331,691576234,356723,77.05,15.7,9.95
02-Sep-22,1474,1490.65,1466,1486.15,1478.611697,123849,7098,183124580,,,24.65,12.15
01-Sep-22,1468,1489.2,1459,1472.1,1468.574633,1301020,23422,1910644969,1145629,88.06,30.2,4.1
30-Aug-22,1443,1489.85,1443,1486.2,1471.146863,306727,15857,451240464,190060,61.96,46.85,43.2
29-Aug-22,1435.8,1446.1,1428.35,1440,1438.376912,80621,6065,115963385,36335,45.07,17.75,4.2
